PDB_ID	Binding_Type	pK	Max_Prediction	Mean_High_Prediction
1olu	Kd	4.406	0.928	0.258
1oe8	Kd	5.523	0.785	0.329
1m7i	Kd	5.398	0.500	0.382
1lvu	Kd	5.319	0.725	0.241
1hk4	Kd	5.310	0.841	0.202
1olx	Kd	4.327	0.925	0.282
1pz5	Kd	5.398	0.760	0.318
1q8w	Kd	5.244	0.979	0.484
1m5w	Kd	4.268	0.588	0.197
1mrx	Kd	7.260	0.991	0.646
1m2p	Ki	6.108	0.976	0.450
1ucn	Kd	5.222	0.500	0.163
1nw5	Kd	5.215	0.779	0.285
1odi	Kd	4.208	0.637	0.188
1nw7	Kd	5.092	0.767	0.299
1odj	Kd	4.097	0.717	0.168
1onz	Kd	5.097	0.921	0.395
1o3f	Ki	7.959	0.994	0.531
1o2q	Ki	7.678	0.993	0.554
1lyx	Ki	4.538	0.500	0.193
1n46	Ki	10.523	0.789	0.326
1oyt	Ki	7.244	0.989	0.478
1o3i	Ki	7.301	0.993	0.539
1o2h	Ki	7.167	0.993	0.540
1o3d	Ki	7.131	0.994	0.534
1nz7	Ki	7.119	0.964	0.387
1nm6	Ki	10.046	0.991	0.480
1o2j	Ki	6.921	0.992	0.536
1pvn	Ki	9.824	0.941	0.259
1o38	Ki	6.824	0.994	0.526
1q54	Ki	5.854	0.863	0.223
1nq7	Ki	6.796	0.654	0.312
1o30	Ki	6.770	0.993	0.537
1o3j	Ki	6.770	0.993	0.539
1ony	Ki	6.770	0.948	0.385
1o86	Ki	9.569	0.926	0.275
1n4h	Ki	6.553	0.624	0.277
1o3l	Ki	6.538	0.993	0.535
1m2r	Ki	6.456	0.968	0.445
1o2o	Ki	6.357	0.994	0.548
1pbq	Ki	6.268	0.829	0.329
1iy7	Ki	6.194	0.517	0.249
1k1y	Ki	3.222	0.706	0.255
1nc1	Ki	6.125	0.678	0.265
1o2z	Ki	6.108	0.993	0.540
1m2q	Ki	6.097	0.978	0.438
1o2n	Ki	6.092	0.994	0.536
1nhz	Ki	6.076	0.818	0.351
1os0	Ki	6.032	0.953	0.509
1k27	Ki	9.000	0.879	0.270
1j37	Ki	8.959	0.671	0.228
1nfw	Ki	8.959	0.994	0.575
1nl9	Ki	5.959	0.936	0.372
1o36	Ki	5.959	0.991	0.540
1o0h	Ki	5.921	0.800	0.306
1n3i	Ki	8.886	0.760	0.237
1nfy	Ki	8.886	0.992	0.573
1nt1	Ki	8.886	0.988	0.452
1o2w	Ki	5.854	0.990	0.531
1my4	Ki	6.979	0.785	0.337
1nc3	Ki	5.000	0.651	0.256
1o35	Ki	5.000	0.991	0.555
1jn4	Ki	4.947	0.831	0.329
1oyq	Ki	6.959	0.996	0.528
1mrs	Ki	3.959	0.695	0.206
1ndv	Ki	5.921	0.896	0.314
1pr5	Ki	3.921	0.566	0.246
1n51	Ki	4.854	0.977	0.220
1njs	Ki	7.824	0.983	0.442
1nvs	Ki	7.824	0.984	0.505
1oss	Ki	4.785	0.570	0.262
1j36	Ki	7.745	0.844	0.289
1nfu	Ki	7.745	0.992	0.564
1mq5	Ki	9.000	0.994	0.561
1n5r	Ki	5.658	0.824	0.273
1nhu	Ki	5.658	0.766	0.303
1nny	Ki	7.658	0.938	0.395
1pb9	Ki	3.618	0.906	0.265
1lpz	Ki	7.602	0.993	0.580
1pa9	Ki	4.602	0.781	0.304
1h46	Ki	3.569	0.855	0.221
1np0	Ki	3.569	0.625	0.238
1lpk	Ki	7.553	0.993	0.579
1i5r	Ki	8.523	0.715	0.252
1nfx	Ki	8.523	0.992	0.576
1pyn	Ki	5.495	0.960	0.389
1mrn	Ki	4.523	0.692	0.259
1no6	Ki	4.409	0.866	0.370
2vnp	Ki	9.921	0.500	0.230
1nwl	Ki	2.387	0.945	0.402
1lzq	Ki	8.387	0.991	0.575
1owh	Ki	7.398	0.989	0.576
1o1s	Ki	7.310	0.850	0.307
1ps3	Ki	2.284	0.818	0.180
1nvq	Ki	8.252	0.987	0.482
1ndw	Ki	5.229	0.835	0.321
1o0f	Ki	5.301	0.755	0.308
1o2r	Ki	5.215	0.994	0.543
1ocq	Ki	5.187	0.542	0.268
1owe	Ki	6.200	0.985	0.584
1ndy	Ki	6.167	0.851	0.325
1pb8	Ki	5.154	0.707	0.243
1o0m	Ki	5.149	0.888	0.320
1ndz	Ki	8.114	0.871	0.343
1nvr	Ki	8.108	0.987	0.491
1m2x	Ki	4.155	0.500	0.250
1oau	Kd	7.699	0.588	0.265
1mq6	Ki	11.155	0.994	0.572
1lpg	Ki	7.086	0.994	0.587
1o0n	Ki	4.086	0.871	0.323
1ui0	Ki	7.056	0.500	0.291
1od8	Ki	5.097	0.781	0.291
1qxk	Ki	5.046	0.949	0.401
1uw6	Kd	7.345	0.500	0.154
1sr7	Kd	10.097	0.929	0.331
1utj	Kd	3.842	0.500	0.238
1os5	Kd	6.854	0.690	0.305
1nki	Kd	6.699	0.500	0.199
1s19	Kd	9.509	0.977	0.485
1utn	Kd	3.493	0.981	0.498
1qy1	Kd	6.523	0.518	0.240
1xow	Kd	9.284	0.953	0.412
1tq4	Kd	6.194	0.658	0.267
1uho	Kd	9.222	0.974	0.407
1w9u	Kd	6.092	0.639	0.291
1t7d	Kd	6.027	0.500	0.277
1utm	Kd	3.012	0.500	0.239
1u1w	Kd	5.854	0.685	0.249
1qy2	Kd	5.745	0.500	0.219
1v11	Kd	3.980	0.942	0.278
1rmz	Kd	8.000	0.958	0.546
1vyg	Kd	8.000	0.530	0.280
1xws	Kd	8.000	0.984	0.557
1v1m	Kd	3.939	0.935	0.292
1uz8	Kd	4.959	0.500	0.252
1v16	Kd	3.870	0.937	0.263
1rd4	Kd	7.738	0.915	0.375
1pfu	Kd	2.721	0.500	0.159
1q1g	Kd	8.569	0.728	0.206
1szd	Kd	4.535	0.827	0.296
1xap	Kd	8.699	0.769	0.316
1utl	Kd	2.467	0.500	0.244
1oar	Kd	7.398	0.680	0.280
1td7	Kd	4.367	0.846	0.359
1ttm	Kd	7.347	0.897	0.475
1sv3	Kd	4.347	0.636	0.241
1w3j	Kd	6.315	0.863	0.395
1r9l	Kd	5.398	0.500	0.221
1uto	Kd	2.274	0.983	0.497
2bfr	Kd	5.249	0.500	0.243
1oxr	Kd	5.194	0.500	0.241
1sw2	Kd	7.222	0.500	0.155
1pzi	Kd	4.222	0.500	0.222
1q7a	Kd	7.194	0.810	0.375
4ghi	Kd	7.092	0.857	0.343
1uv6	Kd	5.121	0.500	0.180
1p19	Kd	4.115	0.703	0.249
1nw4	Kd	9.066	0.722	0.226
1vyf	Kd	8.046	0.537	0.289
1rp7	Ki	8.523	0.789	0.212
1v0l	Ki	7.553	0.599	0.234
1sqo	Ki	7.456	0.988	0.591
1ua4	Ki	4.222	0.509	0.205
1xd0	Ki	7.125	0.500	0.286
1pxn	Ki	7.155	0.985	0.545
1sb1	Ki	6.893	0.990	0.473
1pkx	Ki	6.921	0.539	0.166
1om1	Ki	6.770	0.976	0.436
1nh0	Ki	9.745	0.992	0.615
1wc1	Ki	4.000	0.701	0.279
1rjk	Ki	10.000	0.984	0.533
1pxp	Ki	6.658	0.986	0.566
1xjd	Ki	9.481	0.989	0.447
1r5y	Ki	6.456	0.881	0.421
1o5a	Ki	6.420	0.987	0.518
1w3l	Ki	6.284	0.585	0.299
1px4	Ki	3.229	0.759	0.149
1phw	Ki	3.301	0.674	0.202
1wm1	Ki	6.301	0.650	0.220
1sqa	Ki	9.208	0.992	0.573
1sqt	Ki	6.201	0.990	0.600
1v2k	Ki	6.187	0.993	0.571
1ta6	Ki	9.131	0.989	0.453
1u0g	Ki	6.155	0.661	0.170
1q5k	Ki	7.420	0.940	0.448
1uj5	Ki	3.051	0.601	0.287
1xbo	Ki	6.036	0.959	0.449
1uwu	Ki	5.983	0.810	0.214
1uwt	Ki	5.967	0.797	0.209
1mu8	Ki	9.000	0.991	0.482
1v2n	Ki	5.903	0.994	0.555
1r1h	Ki	8.921	0.698	0.250
1sl3	Ki	11.854	0.993	0.478
1m0b	Ki	8.815	0.993	0.624
1w5w	Ki	8.796	0.993	0.627
1rql	Ki	2.747	0.813	0.182
2bet	Ki	2.770	0.652	0.273
1ur9	Ki	5.770	0.699	0.245
1o5e	Ki	5.745	0.986	0.421
1qxl	Ki	7.959	0.931	0.367
1o5g	Ki	4.959	0.988	0.474
1s39	Ki	7.699	0.827	0.389
1uz1	Ki	6.886	0.905	0.359
1xff	Ki	4.824	0.500	0.265
1v48	Ki	7.796	0.849	0.331
1v2o	Ki	4.734	0.991	0.531
1sdv	Ki	8.742	0.993	0.610
1txr	Ki	7.745	0.646	0.282
1v2t	Ki	4.709	0.990	0.532
1ssq	Ki	6.000	0.561	0.136
1pxo	Ki	8.699	0.990	0.536
1mue	Ki	8.638	0.989	0.491
1r1j	Ki	8.638	0.799	0.257
1uou	Ki	7.699	0.565	0.174
1u33	Ki	4.602	0.500	0.279
1v2r	Ki	3.554	0.991	0.539
1w5y	Ki	8.481	0.993	0.627
1q65	Ki	5.456	0.933	0.433
1uml	Ki	7.523	0.909	0.380
1ro6	Ki	6.456	0.858	0.404
1xkk	Ki	8.523	0.947	0.462
1w5x	Ki	8.398	0.993	0.626
1mu6	Ki	8.377	0.991	0.479
1uz4	Ki	3.398	0.720	0.265
1p57	Ki	4.398	0.979	0.430
1sgu	Ki	5.373	0.986	0.620
1v2u	Ki	3.370	0.980	0.513
1pzp	Ki	3.310	0.526	0.277
1s89	Ki	5.237	0.500	0.157
1w3k	Ki	4.301	0.562	0.278
1v2l	Ki	4.292	0.977	0.507
1sdt	Ki	9.268	0.993	0.650
1v2j	Ki	3.247	0.979	0.517
2c3i	Kd	7.602	0.983	0.572
2bes	Ki	4.244	0.833	0.301
1o5c	Ki	5.222	0.990	0.529
1ogg	Ki	5.194	0.749	0.252
1v2s	Ki	4.167	0.970	0.523
1s38	Ki	5.155	0.833	0.388
1w5v	Ki	8.149	0.993	0.628
1thz	Ki	5.149	0.865	0.198
1o5r	Ki	8.125	0.854	0.345
1q91	Ki	4.155	0.672	0.310
1sdu	Ki	10.066	0.993	0.625
1q84	Ki	11.051	0.836	0.318
1v0k	Ki	5.097	0.775	0.294
1v7a	Ki	8.009	0.949	0.385
1sh9	Ki	6.031	0.985	0.585
1v2w	Ki	4.010	0.991	0.530
2bfq	Kd	6.886	0.534	0.279
1xt8	Kd	6.854	0.500	0.183
1uwf	Kd	6.824	0.988	0.572
2bys	Kd	9.523	0.814	0.209
1w9v	Kd	6.337	0.563	0.268
1s5z	Kd	3.208	0.541	0.210
2bt9	Kd	6.194	0.500	0.167
1kjr	Kd	6.056	0.990	0.436
1ws4	Kd	3.000	0.500	0.209
1xk5	Kd	6.000	0.501	0.337
1ydk	Kd	5.886	0.706	0.264
1y3p	Kd	4.824	0.715	0.242
1u1b	Kd	7.796	0.896	0.336
1xh9	Kd	7.770	0.980	0.511
1y0l	Kd	9.000	0.515	0.283
1t7j	Kd	8.699	0.992	0.592
2byr	Kd	8.553	0.701	0.202
1y3n	Kd	5.553	0.687	0.214
2arm	Kd	7.678	0.805	0.346
1yc4	Kd	6.553	0.982	0.545
1w96	Kd	8.409	0.600	0.216
1zhy	Kd	6.523	0.760	0.233
2a4m	Kd	4.523	0.500	0.158
1xh5	Kd	5.469	0.980	0.508
1xh4	Kd	7.469	0.979	0.499
2bak	Kd	7.432	0.975	0.524
1tjp	Kd	4.420	0.787	0.245
2baj	Kd	8.398	0.896	0.440
1xq0	Kd	6.343	0.978	0.533
2bal	Kd	6.310	0.940	0.505
1rr6	Kd	10.252	0.657	0.289
1x8d	Kd	2.210	0.500	0.234
1yc1	Kd	6.167	0.987	0.547
1xr9	Kd	7.155	0.549	0.298
2f7i	Kd	7.097	0.655	0.339
1xpz	Kd	7.076	0.977	0.521
2b9a	Kd	8.046	0.700	0.343
1wuq	Ki	8.268	0.507	0.158
1t4v	Ki	7.678	0.990	0.529
1x8j	Ki	6.959	0.612	0.186
1wur	Ki	6.658	0.511	0.166
1ws1	Ki	9.553	0.893	0.359
2bok	Ki	6.553	0.994	0.589
2a5s	Ki	6.699	0.567	0.231
2b07	Ki	6.432	0.967	0.424
2ax9	Ki	9.523	0.924	0.395
1yvm	Ki	6.398	0.887	0.380
2ayr	Ki	9.292	0.709	0.427
1wcq	Ki	6.260	0.500	0.206
1z71	Ki	9.180	0.990	0.458
1x39	Ki	9.222	0.810	0.212
1y1z	Ki	3.080	0.629	0.259
2brm	Ki	5.886	0.986	0.556
1x38	Ki	8.770	0.753	0.199
1zp8	Ki	8.770	0.992	0.619
1zdp	Ki	5.745	0.929	0.512
1zoh	Ki	7.000	0.981	0.499
1z9g	Ki	5.638	0.928	0.501
2brb	Ki	4.863	0.984	0.519
1xk9	Ki	6.854	0.658	0.287
1xgi	Ki	4.854	0.663	0.334
1v1j	Ki	4.824	0.500	0.133
1x8t	Ki	7.796	0.819	0.314
1yqy	Ki	7.620	0.864	0.332
2afw	Ki	4.770	0.652	0.249
1wvj	Ki	6.733	0.641	0.312
1w4p	Ki	4.745	0.852	0.342
2bvd	Ki	6.000	0.658	0.299
2a14	Ki	5.699	0.827	0.396
2erz	Ki	5.658	0.969	0.514
1t31	Ki	8.638	0.980	0.418
1wn6	Ki	4.678	0.523	0.212
1y3v	Ki	5.638	0.992	0.538
2azr	Ki	3.638	0.955	0.449
2bo4	Ki	4.609	0.500	0.147
2f6t	Ki	4.620	0.968	0.453
1tx7	Ki	4.602	0.983	0.522
1y6q	Ki	11.699	0.772	0.286
1z4o	Ki	4.523	0.834	0.394
1u71	Ki	7.481	0.988	0.473
1syi	Ki	5.445	0.679	0.339
1vzq	Ki	7.444	0.987	0.469
1t32	Ki	7.420	0.955	0.425
1syh	Ki	6.406	0.684	0.335
1zgi	Ki	5.337	0.991	0.462
1y20	Ki	5.319	0.714	0.215
1zoe	Ki	7.398	0.983	0.485
1yfz	Ki	4.347	0.697	0.224
1z6s	Ki	4.337	0.727	0.291
1z1h	Ki	8.398	0.995	0.655
1zpa	Ki	8.398	0.993	0.623
2al5	Ki	8.398	0.839	0.428
1w4q	Ki	5.260	0.904	0.329
1t5f	Ki	4.222	0.690	0.193
1xhy	Ki	6.179	0.787	0.346
1w4o	Ki	5.222	0.834	0.330
2afx	Ki	5.149	0.797	0.246
2br1	Ki	5.143	0.985	0.520
1yqj	Ki	8.137	0.965	0.499
1zog	Ki	7.155	0.976	0.482
1y3x	Ki	5.136	0.993	0.537
1x8r	Ki	6.125	0.826	0.315
1z95	Ki	7.119	0.962	0.401
1y6r	Ki	10.114	0.755	0.328
2exm	Ki	4.108	0.971	0.528
2iwx	Kd	6.678	0.946	0.391
2c3l	Ki	5.067	0.982	0.523
1x1z	Ki	11.056	0.705	0.402
1yq7	Ki	7.085	0.924	0.302
2bqv	Ki	8.046	0.993	0.660
2f34	Kd	6.886	0.782	0.389
2c94	Kd	6.824	0.514	0.231
2ews	Kd	6.620	0.763	0.249
2euk	Kd	6.602	0.500	0.287
2h21	Kd	6.538	0.933	0.280
2evl	Kd	6.699	0.500	0.274
2cgf	Kd	6.409	0.954	0.380
2fgu	Kd	9.180	0.992	0.642
1zc9	Kd	3.222	0.589	0.251
2c97	Kd	6.143	0.500	0.185
2ce9	Kd	6.032	0.500	0.217
2cc7	Kd	8.005	0.622	0.209
2j79	Kd	5.959	0.862	0.357
2fw6	Kd	2.921	0.500	0.168
2boj	Kd	5.770	0.655	0.244
2j7g	Kd	7.000	0.902	0.355
2buv	Kd	4.000	0.620	0.180
2ewa	Kd	7.939	0.922	0.427
2a5b	Kd	3.932	0.500	0.188
2cbz	Kd	3.928	0.888	0.333
2j77	Kd	4.889	0.883	0.339
2haw	Kd	4.921	0.629	0.190
2fqy	Kd	6.569	0.529	0.266
2hu6	Kd	3.812	0.960	0.503
2o4n	Kd	7.824	0.985	0.579
2gl0	Kd	4.824	0.500	0.176
2gzl	Kd	4.824	0.727	0.247
2ccc	Kd	7.755	0.706	0.219
2b4l	Kd	4.770	0.500	0.196
2c92	Kd	5.676	0.500	0.189
2cbu	Kd	5.678	0.835	0.354
2bmk	Kd	5.620	0.508	0.251
2a8g	Kd	3.688	0.500	0.223
2hmv	Kd	7.699	0.675	0.292
2hmu	Kd	7.699	0.697	0.305
2cex	Kd	4.699	0.803	0.266
2fqw	Kd	6.678	0.500	0.273
2j75	Kd	6.648	0.910	0.340
2ca8	Kd	4.658	0.893	0.365
2ha2	Kd	4.658	0.500	0.338
2j7b	Kd	6.620	0.719	0.281
2a5c	Kd	4.620	0.500	0.204
2h3e	Kd	5.699	0.504	0.164
2g5u	Kd	8.495	0.698	0.331
2cbv	Kd	5.481	0.915	0.352
2f35	Kd	5.405	0.762	0.365
2ccb	Kd	7.447	0.500	0.207
2iko	Kd	5.447	0.850	0.348
2o4k	Kd	10.456	0.993	0.628
2amt	Kd	4.444	0.628	0.263
2j78	Kd	6.416	0.877	0.342
2h6b	Kd	5.387	0.661	0.154
2fxv	Kd	5.347	0.500	0.252
2c80	Kd	5.328	0.722	0.238
2ez7	Kd	4.362	0.901	0.414
2j7f	Kd	6.352	0.904	0.348
2j7e	Kd	7.319	0.912	0.379
2d0k	Kd	5.022	0.968	0.485
2ha6	Kd	4.319	0.500	0.315
2c1p	Kd	5.398	0.500	0.299
2ces	Kd	7.252	0.847	0.352
2gz2	Kd	5.222	0.784	0.276
2o4l	Kd	9.216	0.991	0.626
2cet	Kd	8.018	0.851	0.315
2j7h	Kd	7.187	0.858	0.304
2doo	Kd	7.174	0.625	0.263
1zea	Kd	5.222	0.644	0.313
2fqx	Kd	7.149	0.500	0.260
2j7d	Kd	7.131	0.916	0.349
2fgv	Kd	6.119	0.993	0.628
2fxu	Kd	8.155	0.886	0.357
2hnx	Kd	7.081	0.957	0.353
2ha3	Kd	3.032	0.500	0.137
2cf8	Ki	8.097	0.987	0.460
2cf9	Ki	7.824	0.989	0.445
2aoe	Ki	7.620	0.990	0.560
2d1o	Ki	7.699	0.951	0.419
2f7o	Ki	7.444	0.760	0.162
2f81	Ki	10.523	0.993	0.609
2i3h	Ki	7.398	0.844	0.432
2i3i	Ki	7.301	0.840	0.429
2bz6	Ki	7.092	0.952	0.497
1zsf	Ki	9.921	0.992	0.630
2d3u	Ki	6.921	0.813	0.325
2b1i	Ki	6.824	0.500	0.150
1z6e	Ki	9.721	0.994	0.590
2b1g	Ki	6.638	0.718	0.168
2d3z	Ki	6.638	0.736	0.319
2fqt	Ki	6.143	0.689	0.237
2f7p	Ki	6.604	0.747	0.195
2fqo	Ki	6.432	0.644	0.243
2g94	Ki	9.523	0.985	0.533
2gvj	Ki	9.523	0.842	0.341
2hoc	Ki	9.523	0.971	0.510
2h4g	Ki	6.523	0.895	0.422
2aqu	Ki	9.319	0.993	0.637
2aog	Ki	6.276	0.985	0.525
1zvx	Ki	9.222	0.958	0.436
2ewb	Ki	6.097	0.737	0.230
2idw	Ki	8.886	0.993	0.622
2avo	Ki	8.854	0.995	0.651
1ypg	Ki	8.000	0.989	0.473
2fpz	Ki	3.959	0.614	0.256
2e1w	Ki	7.959	0.938	0.350
2gvv	Ki	3.903	0.641	0.259
2aoc	Ki	4.886	0.983	0.541
2gv7	Ki	7.854	0.994	0.480
2j34	Ki	7.824	0.990	0.594
2hb1	Ki	3.796	0.961	0.441
2i19	Ki	7.796	0.750	0.251
2am4	Ki	3.721	0.792	0.268
2f94	Ki	6.710	0.908	0.296
2fzc	Ki	2.701	0.500	0.143
2j4i	Ki	9.000	0.992	0.547
2f8g	Ki	8.699	0.991	0.644
2avm	Ki	5.699	0.985	0.549
2aod	Ki	5.664	0.988	0.553
2iuz	Ki	5.553	0.808	0.321
2bvr	Ki	3.699	0.989	0.456
2fx6	Ki	3.699	0.988	0.532
2dw7	Ki	4.699	0.749	0.191
2cn0	Ki	7.658	0.987	0.456
2fzk	Ki	3.602	0.500	0.169
2gsu	Ki	3.585	0.500	0.200
2fdp	Ki	7.585	0.982	0.536
2avs	Ki	7.569	0.994	0.646
2f1g	Ki	7.538	0.928	0.346
2b7d	Ki	8.699	0.971	0.410
2f2h	Ki	5.699	0.500	0.158
2ihq	Ki	8.495	0.953	0.437
2h4k	Ki	5.495	0.913	0.416
2hs1	Ki	8.481	0.994	0.649
2j47	Ki	5.409	0.817	0.321
3cz1	Kd	7.260	0.500	0.193
1zfq	Ki	7.523	0.859	0.445
2isw	Ki	7.432	0.676	0.246
2boh	Ki	8.523	0.993	0.611
2fvd	Ki	8.523	0.989	0.526
2hb3	Ki	11.347	0.993	0.671
1zge	Ki	7.301	0.804	0.418
2hzy	Ki	7.387	0.542	0.176
2avq	Ki	4.387	0.988	0.558
2fzg	Ki	3.377	0.519	0.184
2gv6	Ki	7.337	0.992	0.485
2j2u	Ki	7.328	0.991	0.575
2i0a	Ki	11.398	0.993	0.645
2i80	Ki	5.398	0.575	0.222
2cbj	Ki	8.268	0.589	0.220
3ifl	Kd	8.076	0.821	0.299
2ceq	Ki	7.276	0.743	0.254
2f80	Ki	8.180	0.994	0.651
2hnc	Ki	7.222	0.942	0.453
2aj8	Ki	6.195	0.830	0.222
1z9y	Ki	7.187	0.908	0.446
2hxm	Ki	5.222	0.808	0.310
1zs0	Ki	6.155	0.954	0.439
1yp9	Ki	5.114	0.993	0.544
2d1n	Ki	8.155	0.879	0.433
2bvs	Ki	4.097	0.991	0.458
2f9k	Ki	7.066	0.888	0.319
2py4	Kd	6.699	0.705	0.293
2bq7	Ki	7.051	0.993	0.577
1ype	Ki	8.097	0.988	0.461
1w7g	Ki	5.097	0.991	0.469
1ypj	Ki	7.022	0.988	0.467
2v7a	Kd	8.301	0.972	0.466
2uxi	Kd	7.301	0.551	0.234
2v8w	Kd	6.824	0.801	0.273
2jdu	Kd	6.721	0.566	0.267
2v00	Kd	3.658	0.660	0.287
2jdp	Kd	6.602	0.721	0.293
2nn7	Kd	6.523	0.912	0.383
2hkf	Kd	6.377	0.911	0.330
2qpq	Kd	6.367	0.583	0.235
2e27	Kd	9.347	0.879	0.342
2e7f	Kd	6.102	0.646	0.266
2fxs	Kd	6.060	0.962	0.417
2nnd	Kd	6.060	0.537	0.225
2nn1	Kd	5.824	0.924	0.380
2qta	Kd	5.757	0.783	0.210
2pgz	Kd	5.745	0.509	0.215
2nsj	Kd	4.788	0.543	0.206
2v25	Kd	5.721	0.500	0.263
2r58	Kd	2.000	0.500	0.229
2oiq	Kd	5.000	0.977	0.488
2vhj	Kd	3.903	0.590	0.238
2pk6	Kd	10.886	0.994	0.624
2jg0	Kd	7.824	0.769	0.226
2clk	Kd	3.785	0.625	0.199
2qm9	Kd	7.770	0.977	0.410
2i4z	Kd	5.704	0.926	0.400
2q8h	Kd	3.000	0.500	0.129
2v3u	Kd	3.000	0.658	0.239
2hzl	Kd	6.569	0.500	0.170
2gh9	Kd	6.000	0.812	0.283
2uyq	Kd	5.678	0.647	0.332
2r5a	Kd	2.602	0.500	0.227
2nmx	Kd	5.569	0.863	0.395
2nsl	Kd	4.680	0.555	0.202
2pk5	Kd	10.699	0.992	0.628
2vba	Kd	4.602	0.523	0.169
2vb8	Kd	4.602	0.623	0.214
2cle	Kd	3.553	0.891	0.351
3b50	Kd	7.553	0.831	0.277
2uyn	Kd	2.699	0.500	0.159
2r0z	Kd	5.469	0.585	0.298
2jdm	Kd	5.402	0.617	0.307
2ra6	Kd	4.523	0.500	0.208
2ogy	Kd	4.479	0.721	0.270
2uwd	Kd	8.347	0.980	0.497
2gj5	Kd	8.324	0.955	0.362
2hjb	Kd	4.395	0.500	0.155
2p09	Kd	6.347	0.597	0.267
2v95	Kd	8.301	0.500	0.242
2e2r	Kd	8.260	0.803	0.325
2oi2	Kd	6.301	0.831	0.227
2p15	Kd	10.301	0.670	0.426
2cli	Kd	4.301	0.824	0.300
2pql	Kd	7.276	0.500	0.258
2q7q	Kd	5.301	0.500	0.141
2i4j	Kd	6.164	0.930	0.398
2i6b	Kd	7.167	0.811	0.309
2pv1	Kd	7.137	0.695	0.373
2jf4	Kd	8.155	0.653	0.218
2v88	Kd	4.086	0.765	0.437
2clh	Kd	4.057	0.937	0.382
2e94	Ki	8.000	0.784	0.273
2i2c	Ki	4.699	0.825	0.277
2o4j	Ki	10.097	0.983	0.538
2p16	Ki	10.097	0.993	0.593
2e92	Ki	6.886	0.732	0.266
2oxd	Ki	6.824	0.972	0.501
2ot1	Ki	4.000	0.652	0.179
2oxx	Ki	6.699	0.975	0.477
2j4g	Ki	6.602	0.869	0.302
2e91	Ki	6.585	0.713	0.252
2pog	Ki	9.538	0.691	0.387
2nt7	Ki	6.523	0.969	0.476
2oxy	Ki	6.523	0.975	0.508
2j27	Ki	3.523	0.806	0.298
2p95	Ki	9.367	0.992	0.585
2o4r	Ki	9.398	0.983	0.563
3bgz	Ki	6.260	0.976	0.535
2yxj	Ki	9.301	0.755	0.364
2p2a	Ki	6.125	0.877	0.308
2flr	Ki	6.097	0.984	0.525
2q54	Ki	9.009	0.993	0.640
2p4j	Ki	8.959	0.983	0.521
2pu1	Ki	5.854	0.587	0.200
2z94	Ki	5.854	0.500	0.152
3b7i	Ki	5.824	0.558	0.220
2uz9	Ki	5.708	0.500	0.209
2i4x	Ki	11.721	0.991	0.529
2qrl	Ki	4.000	0.513	0.220
3b3c	Ki	3.979	0.652	0.238
2hah	Ki	8.000	0.961	0.461
3b92	Ki	8.000	0.921	0.306
2oym	Ki	5.000	0.665	0.265
2qe4	Ki	7.959	0.666	0.383
2v3d	Ki	3.936	0.864	0.248
2p3a	Ki	7.959	0.993	0.585
3bgq	Ki	7.959	0.982	0.578
2ovv	Ki	7.921	0.962	0.506
2fle	Ki	7.854	0.993	0.593
2uwp	Ki	6.812	0.989	0.544
2ptz	Ki	7.824	0.612	0.189
2pwg	Ki	4.824	0.695	0.185
2nta	Ki	4.796	0.936	0.413
2on6	Ki	6.764	0.553	0.247
2jh6	Ki	7.770	0.983	0.455
1vso	Ki	4.722	0.928	0.362
2e2p	Ki	4.745	0.673	0.220
2q55	Ki	8.690	0.993	0.651
2i4d	Ki	11.678	0.992	0.563
2oax	Ki	8.651	0.950	0.469
2ojg	Ki	5.638	0.983	0.519
2cej	Ki	8.620	0.994	0.650
2i4w	Ki	11.585	0.992	0.581
2i4u	Ki	11.569	0.992	0.636
2jew	Ki	6.686	0.936	0.321
2fu8	Ki	4.699	0.500	0.261
2h15	Ki	5.671	0.722	0.332
2uy4	Ki	4.678	0.500	0.264
2hl4	Ki	7.638	0.812	0.321
2p3c	Ki	7.620	0.994	0.566
2psu	Ki	7.620	0.993	0.674
2ihj	Ki	4.590	0.848	0.278
2oxn	Ki	7.444	0.832	0.290
3b3x	Ki	3.602	0.856	0.318
2o8h	Ki	7.602	0.965	0.466
2jiw	Ki	4.585	0.875	0.340
3b3s	Ki	2.553	0.500	0.196
2oi0	Ki	7.553	0.803	0.334
2jh0	Ki	8.699	0.985	0.462
2ojj	Ki	8.699	0.971	0.468
2uwo	Ki	8.699	0.990	0.567
2o0u	Ki	5.495	0.935	0.451
2q8m	Ki	4.027	0.500	0.154
2uy5	Ki	5.495	0.689	0.277
2p3b	Ki	8.481	0.993	0.605
2r5p	Ki	8.481	0.993	0.646
2oag	Ki	8.469	0.748	0.218
2hhn	Ki	7.495	0.886	0.345
2r2w	Ki	4.469	0.980	0.526
2p53	Ki	7.456	0.500	0.221
2jh5	Ki	6.435	0.983	0.438
2pou	Ki	7.420	0.930	0.457
2oc2	Ki	8.523	0.964	0.252
2qu6	Ki	8.523	0.990	0.469
2nmz	Ki	8.367	0.993	0.599
2gkl	Ki	5.347	0.500	0.230
2j62	Ki	11.337	0.654	0.207
3b4p	Kd	5.398	0.500	0.174
2pwd	Ki	4.398	0.500	0.222
