PDB_ID	Binding_Type	pK	Max_Prediction
1xd0	Ki	7.125	0.500
1pxn	Ki	7.155	0.985
1sb1	Ki	6.893	0.990
1pkx	Ki	6.921	0.539
1om1	Ki	6.770	0.976
1nh0	Ki	9.745	0.992
1wc1	Ki	4.000	0.701
1rjk	Ki	10.000	0.984
1pxp	Ki	6.658	0.986
1xjd	Ki	9.481	0.989
1r5y	Ki	6.456	0.881
1o5a	Ki	6.420	0.987
1w3l	Ki	6.284	0.585
1px4	Ki	3.229	0.759
1phw	Ki	3.301	0.674
1wm1	Ki	6.301	0.650
1sqa	Ki	9.208	0.992
1sqt	Ki	6.201	0.990
1v2k	Ki	6.187	0.993
1ta6	Ki	9.131	0.989
1u0g	Ki	6.155	0.661
1q5k	Ki	7.420	0.940
1uj5	Ki	3.051	0.601
1xbo	Ki	6.036	0.959
1uwu	Ki	5.983	0.810
1uwt	Ki	5.967	0.797
1mu8	Ki	9.000	0.991
1v2n	Ki	5.903	0.994
1r1h	Ki	8.921	0.698
1sl3	Ki	11.854	0.993
1m0b	Ki	8.815	0.993
1w5w	Ki	8.796	0.993
1rql	Ki	2.747	0.813
2bet	Ki	2.770	0.652
1ur9	Ki	5.770	0.699
1o5e	Ki	5.745	0.986
1qxl	Ki	7.959	0.931
1o5g	Ki	4.959	0.988
1s39	Ki	7.699	0.827
1uz1	Ki	6.886	0.905
1xff	Ki	4.824	0.500
1v48	Ki	7.796	0.849
1v2o	Ki	4.734	0.991
1sdv	Ki	8.742	0.993
1txr	Ki	7.745	0.646
1v2t	Ki	4.709	0.990
1ssq	Ki	6.000	0.561
1pxo	Ki	8.699	0.990
1mue	Ki	8.638	0.989
1r1j	Ki	8.638	0.799
1uou	Ki	7.699	0.565
1u33	Ki	4.602	0.500
1v2r	Ki	3.554	0.991
1w5y	Ki	8.481	0.993
1q65	Ki	5.456	0.933
1uml	Ki	7.523	0.909
1ro6	Ki	6.456	0.858
1xkk	Ki	8.523	0.947
1w5x	Ki	8.398	0.993
1mu6	Ki	8.377	0.991
1uz4	Ki	3.398	0.720
1p57	Ki	4.398	0.979
1sgu	Ki	5.373	0.986
1v2u	Ki	3.370	0.980
1pzp	Ki	3.310	0.526
1s89	Ki	5.237	0.500
1w3k	Ki	4.301	0.562
1v2l	Ki	4.292	0.977
1sdt	Ki	9.268	0.993
1v2j	Ki	3.247	0.979
2c3i	Kd	7.602	0.983
2bes	Ki	4.244	0.833
1o5c	Ki	5.222	0.990
1ogg	Ki	5.194	0.749
1v2s	Ki	4.167	0.970
1s38	Ki	5.155	0.833
1w5v	Ki	8.149	0.993
1thz	Ki	5.149	0.865
1o5r	Ki	8.125	0.854
1q91	Ki	4.155	0.672
1sdu	Ki	10.066	0.993
1q84	Ki	11.051	0.836
1v0k	Ki	5.097	0.775
1v7a	Ki	8.009	0.949
1sh9	Ki	6.031	0.985
1v2w	Ki	4.010	0.991
2bfq	Kd	6.886	0.534
1xt8	Kd	6.854	0.500
1uwf	Kd	6.824	0.988
2bys	Kd	9.523	0.814
1w9v	Kd	6.337	0.563
1s5z	Kd	3.208	0.541
2bt9	Kd	6.194	0.500
1kjr	Kd	6.056	0.990
1ws4	Kd	3.000	0.500
1xk5	Kd	6.000	0.501
1ydk	Kd	5.886	0.706
1y3p	Kd	4.824	0.715
1u1b	Kd	7.796	0.896
1xh9	Kd	7.770	0.980
1y0l	Kd	9.000	0.515
1t7j	Kd	8.699	0.992
2byr	Kd	8.553	0.701
1y3n	Kd	5.553	0.687
2arm	Kd	7.678	0.805
1yc4	Kd	6.553	0.982
1w96	Kd	8.409	0.600
1zhy	Kd	6.523	0.760
2a4m	Kd	4.523	0.500
1xh5	Kd	5.469	0.980
1xh4	Kd	7.469	0.979
2bak	Kd	7.432	0.975
1tjp	Kd	4.420	0.787
2baj	Kd	8.398	0.896
1xq0	Kd	6.343	0.978
2bal	Kd	6.310	0.940
1rr6	Kd	10.252	0.657
1x8d	Kd	2.210	0.500
1yc1	Kd	6.167	0.987
1xr9	Kd	7.155	0.549
2f7i	Kd	7.097	0.655
1xpz	Kd	7.076	0.977
2b9a	Kd	8.046	0.700
1wuq	Ki	8.268	0.507
1t4v	Ki	7.678	0.990
1x8j	Ki	6.959	0.612
1wur	Ki	6.658	0.511
1ws1	Ki	9.553	0.893
2bok	Ki	6.553	0.994
2a5s	Ki	6.699	0.567
2b07	Ki	6.432	0.967
2ax9	Ki	9.523	0.924
1yvm	Ki	6.398	0.887
2ayr	Ki	9.292	0.709
1wcq	Ki	6.260	0.500
1z71	Ki	9.180	0.990
1x39	Ki	9.222	0.810
1y1z	Ki	3.080	0.629
2brm	Ki	5.886	0.986
1x38	Ki	8.770	0.753
1zp8	Ki	8.770	0.992
1zdp	Ki	5.745	0.929
1zoh	Ki	7.000	0.981
1z9g	Ki	5.638	0.928
2brb	Ki	4.863	0.984
1xk9	Ki	6.854	0.658
1xgi	Ki	4.854	0.663
1v1j	Ki	4.824	0.500
1x8t	Ki	7.796	0.819
1yqy	Ki	7.620	0.864
2afw	Ki	4.770	0.652
1wvj	Ki	6.733	0.641
1w4p	Ki	4.745	0.852
2bvd	Ki	6.000	0.658
2a14	Ki	5.699	0.827
2erz	Ki	5.658	0.969
1t31	Ki	8.638	0.980
1wn6	Ki	4.678	0.523
1y3v	Ki	5.638	0.992
2azr	Ki	3.638	0.955
2bo4	Ki	4.609	0.500
2f6t	Ki	4.620	0.968
1tx7	Ki	4.602	0.983
1y6q	Ki	11.699	0.772
1z4o	Ki	4.523	0.834
1u71	Ki	7.481	0.988
1syi	Ki	5.445	0.679
1vzq	Ki	7.444	0.987
1t32	Ki	7.420	0.955
1syh	Ki	6.406	0.684
1zgi	Ki	5.337	0.991
1y20	Ki	5.319	0.714
1zoe	Ki	7.398	0.983
1yfz	Ki	4.347	0.697
1z6s	Ki	4.337	0.727
1z1h	Ki	8.398	0.995
1zpa	Ki	8.398	0.993
2al5	Ki	8.398	0.839
1w4q	Ki	5.260	0.904
1t5f	Ki	4.222	0.690
1xhy	Ki	6.179	0.787
1w4o	Ki	5.222	0.834
2afx	Ki	5.149	0.797
2br1	Ki	5.143	0.985
1yqj	Ki	8.137	0.965
1zog	Ki	7.155	0.976
1y3x	Ki	5.136	0.993
1x8r	Ki	6.125	0.826
1z95	Ki	7.119	0.962
1y6r	Ki	10.114	0.755
2exm	Ki	4.108	0.971
2iwx	Kd	6.678	0.946
2c3l	Ki	5.067	0.982
1x1z	Ki	11.056	0.705
1yq7	Ki	7.085	0.924
2bqv	Ki	8.046	0.993
2f34	Kd	6.886	0.782
2c94	Kd	6.824	0.514
2ews	Kd	6.620	0.763
2euk	Kd	6.602	0.500
2h21	Kd	6.538	0.933
2evl	Kd	6.699	0.500
2cgf	Kd	6.409	0.954
2fgu	Kd	9.180	0.992
1zc9	Kd	3.222	0.589
2c97	Kd	6.143	0.500
2ce9	Kd	6.032	0.500
2cc7	Kd	8.005	0.622
2j79	Kd	5.959	0.862
2fw6	Kd	2.921	0.500
2boj	Kd	5.770	0.655
2j7g	Kd	7.000	0.902
2buv	Kd	4.000	0.620
2ewa	Kd	7.939	0.922
2a5b	Kd	3.932	0.500
2cbz	Kd	3.928	0.888
2j77	Kd	4.889	0.883
2haw	Kd	4.921	0.629
2fqy	Kd	6.569	0.529
2hu6	Kd	3.812	0.960
2o4n	Kd	7.824	0.985
2gl0	Kd	4.824	0.500
2gzl	Kd	4.824	0.727
2ccc	Kd	7.755	0.706
2b4l	Kd	4.770	0.500
2c92	Kd	5.676	0.500
2cbu	Kd	5.678	0.835
2bmk	Kd	5.620	0.508
2a8g	Kd	3.688	0.500
2hmv	Kd	7.699	0.675
2hmu	Kd	7.699	0.697
2cex	Kd	4.699	0.803
2fqw	Kd	6.678	0.500
2j75	Kd	6.648	0.910
2ca8	Kd	4.658	0.893
2ha2	Kd	4.658	0.500
2j7b	Kd	6.620	0.719
2a5c	Kd	4.620	0.500
2h3e	Kd	5.699	0.504
2g5u	Kd	8.495	0.698
2cbv	Kd	5.481	0.915
2f35	Kd	5.405	0.762
2ccb	Kd	7.447	0.500
2iko	Kd	5.447	0.850
2o4k	Kd	10.456	0.993
2amt	Kd	4.444	0.628
2j78	Kd	6.416	0.877
2h6b	Kd	5.387	0.661
2fxv	Kd	5.347	0.500
2c80	Kd	5.328	0.722
2ez7	Kd	4.362	0.901
2j7f	Kd	6.352	0.904
2j7e	Kd	7.319	0.912
2d0k	Kd	5.022	0.968
2ha6	Kd	4.319	0.500
2c1p	Kd	5.398	0.500
2ces	Kd	7.252	0.847
2gz2	Kd	5.222	0.784
2o4l	Kd	9.216	0.991
2cet	Kd	8.018	0.851
2j7h	Kd	7.187	0.858
2doo	Kd	7.174	0.625
1zea	Kd	5.222	0.644
2fqx	Kd	7.149	0.500
2j7d	Kd	7.131	0.916
2fgv	Kd	6.119	0.993
2fxu	Kd	8.155	0.886
2hnx	Kd	7.081	0.957
2ha3	Kd	3.032	0.500
2cf8	Ki	8.097	0.987
2cf9	Ki	7.824	0.989
2aoe	Ki	7.620	0.990
2d1o	Ki	7.699	0.951
2f7o	Ki	7.444	0.760
2f81	Ki	10.523	0.993
2i3h	Ki	7.398	0.844
2i3i	Ki	7.301	0.840
2bz6	Ki	7.092	0.952
1zsf	Ki	9.921	0.992
2d3u	Ki	6.921	0.813
2b1i	Ki	6.824	0.500
1z6e	Ki	9.721	0.994
2b1g	Ki	6.638	0.718
2d3z	Ki	6.638	0.736
2fqt	Ki	6.143	0.689
2f7p	Ki	6.604	0.747
2fqo	Ki	6.432	0.644
2g94	Ki	9.523	0.985
2gvj	Ki	9.523	0.842
2hoc	Ki	9.523	0.971
2h4g	Ki	6.523	0.895
2aqu	Ki	9.319	0.993
2aog	Ki	6.276	0.985
1zvx	Ki	9.222	0.958
2ewb	Ki	6.097	0.737
2idw	Ki	8.886	0.993
2avo	Ki	8.854	0.995
1ypg	Ki	8.000	0.989
2fpz	Ki	3.959	0.614
2e1w	Ki	7.959	0.938
2gvv	Ki	3.903	0.641
2aoc	Ki	4.886	0.983
2gv7	Ki	7.854	0.994
2j34	Ki	7.824	0.990
2hb1	Ki	3.796	0.961
2i19	Ki	7.796	0.750
2am4	Ki	3.721	0.792
2f94	Ki	6.710	0.908
2fzc	Ki	2.701	0.500
2j4i	Ki	9.000	0.992
2f8g	Ki	8.699	0.991
2avm	Ki	5.699	0.985
2aod	Ki	5.664	0.988
2iuz	Ki	5.553	0.808
2bvr	Ki	3.699	0.989
2fx6	Ki	3.699	0.988
2dw7	Ki	4.699	0.749
2cn0	Ki	7.658	0.987
2fzk	Ki	3.602	0.500
2gsu	Ki	3.585	0.500
2fdp	Ki	7.585	0.982
2avs	Ki	7.569	0.994
2f1g	Ki	7.538	0.928
2b7d	Ki	8.699	0.971
2f2h	Ki	5.699	0.500
2ihq	Ki	8.495	0.953
2h4k	Ki	5.495	0.913
2hs1	Ki	8.481	0.994
2j47	Ki	5.409	0.817
3cz1	Kd	7.260	0.500
1zfq	Ki	7.523	0.859
2isw	Ki	7.432	0.676
2boh	Ki	8.523	0.993
2fvd	Ki	8.523	0.989
2hb3	Ki	11.347	0.993
1zge	Ki	7.301	0.804
2hzy	Ki	7.387	0.542
2avq	Ki	4.387	0.988
2fzg	Ki	3.377	0.519
2gv6	Ki	7.337	0.992
2j2u	Ki	7.328	0.991
2i0a	Ki	11.398	0.993
2i80	Ki	5.398	0.575
2cbj	Ki	8.268	0.589
3ifl	Kd	8.076	0.821
2ceq	Ki	7.276	0.743
2f80	Ki	8.180	0.994
2hnc	Ki	7.222	0.942
2aj8	Ki	6.195	0.830
1z9y	Ki	7.187	0.908
2hxm	Ki	5.222	0.808
1zs0	Ki	6.155	0.954
1yp9	Ki	5.114	0.993
2d1n	Ki	8.155	0.879
2bvs	Ki	4.097	0.991
2f9k	Ki	7.066	0.888
2py4	Kd	6.699	0.705
2bq7	Ki	7.051	0.993
1ype	Ki	8.097	0.988
1w7g	Ki	5.097	0.991
1ypj	Ki	7.022	0.988
2v7a	Kd	8.301	0.972
2uxi	Kd	7.301	0.551
2v8w	Kd	6.824	0.801
2jdu	Kd	6.721	0.566
2v00	Kd	3.658	0.660
2jdp	Kd	6.602	0.721
2nn7	Kd	6.523	0.912
2hkf	Kd	6.377	0.911
2qpq	Kd	6.367	0.583
2e27	Kd	9.347	0.879
2e7f	Kd	6.102	0.646
2fxs	Kd	6.060	0.962
2nnd	Kd	6.060	0.537
2nn1	Kd	5.824	0.924
2qta	Kd	5.757	0.783
2pgz	Kd	5.745	0.509
2nsj	Kd	4.788	0.543
2v25	Kd	5.721	0.500
2r58	Kd	2.000	0.500
2oiq	Kd	5.000	0.977
2vhj	Kd	3.903	0.590
2pk6	Kd	10.886	0.994
2jg0	Kd	7.824	0.769
2clk	Kd	3.785	0.625
2qm9	Kd	7.770	0.977
2i4z	Kd	5.704	0.926
2q8h	Kd	3.000	0.500
2v3u	Kd	3.000	0.658
2hzl	Kd	6.569	0.500
2gh9	Kd	6.000	0.812
2uyq	Kd	5.678	0.647
2r5a	Kd	2.602	0.500
2nmx	Kd	5.569	0.863
2nsl	Kd	4.680	0.555
2pk5	Kd	10.699	0.992
2vba	Kd	4.602	0.523
2vb8	Kd	4.602	0.623
2cle	Kd	3.553	0.891
3b50	Kd	7.553	0.831
2uyn	Kd	2.699	0.500
2r0z	Kd	5.469	0.585
2jdm	Kd	5.402	0.617
2ra6	Kd	4.523	0.500
2ogy	Kd	4.479	0.721
2uwd	Kd	8.347	0.980
2gj5	Kd	8.324	0.955
2hjb	Kd	4.395	0.500
2p09	Kd	6.347	0.597
2v95	Kd	8.301	0.500
2e2r	Kd	8.260	0.803
2oi2	Kd	6.301	0.831
2p15	Kd	10.301	0.670
2cli	Kd	4.301	0.824
2pql	Kd	7.276	0.500
2q7q	Kd	5.301	0.500
2i4j	Kd	6.164	0.930
2i6b	Kd	7.167	0.811
2pv1	Kd	7.137	0.695
2jf4	Kd	8.155	0.653
2v88	Kd	4.086	0.765
2clh	Kd	4.057	0.937
2e94	Ki	8.000	0.784
2i2c	Ki	4.699	0.825
2o4j	Ki	10.097	0.983
2p16	Ki	10.097	0.993
2e92	Ki	6.886	0.732
2oxd	Ki	6.824	0.972
2ot1	Ki	4.000	0.652
2oxx	Ki	6.699	0.975
2j4g	Ki	6.602	0.869
2e91	Ki	6.585	0.713
2pog	Ki	9.538	0.691
2nt7	Ki	6.523	0.969
2oxy	Ki	6.523	0.975
2j27	Ki	3.523	0.806
2p95	Ki	9.367	0.992
2o4r	Ki	9.398	0.983
3bgz	Ki	6.260	0.976
2yxj	Ki	9.301	0.755
2p2a	Ki	6.125	0.877
2flr	Ki	6.097	0.984
2q54	Ki	9.009	0.993
2p4j	Ki	8.959	0.983
2pu1	Ki	5.854	0.587
2z94	Ki	5.854	0.500
3b7i	Ki	5.824	0.558
2uz9	Ki	5.708	0.500
2i4x	Ki	11.721	0.991
2qrl	Ki	4.000	0.513
3b3c	Ki	3.979	0.652
2hah	Ki	8.000	0.961
3b92	Ki	8.000	0.921
2oym	Ki	5.000	0.665
2qe4	Ki	7.959	0.666
2v3d	Ki	3.936	0.864
2p3a	Ki	7.959	0.993
3bgq	Ki	7.959	0.982
2ovv	Ki	7.921	0.962
2fle	Ki	7.854	0.993
2uwp	Ki	6.812	0.989
2ptz	Ki	7.824	0.612
2pwg	Ki	4.824	0.695
2nta	Ki	4.796	0.936
2on6	Ki	6.764	0.553
2jh6	Ki	7.770	0.983
1vso	Ki	4.722	0.928
2e2p	Ki	4.745	0.673
2q55	Ki	8.690	0.993
2i4d	Ki	11.678	0.992
2oax	Ki	8.651	0.950
2ojg	Ki	5.638	0.983
2cej	Ki	8.620	0.994
2i4w	Ki	11.585	0.992
2i4u	Ki	11.569	0.992
2jew	Ki	6.686	0.936
2fu8	Ki	4.699	0.500
2h15	Ki	5.671	0.722
2uy4	Ki	4.678	0.500
2hl4	Ki	7.638	0.812
2p3c	Ki	7.620	0.994
2psu	Ki	7.620	0.993
2ihj	Ki	4.590	0.848
2oxn	Ki	7.444	0.832
3b3x	Ki	3.602	0.856
2o8h	Ki	7.602	0.965
2jiw	Ki	4.585	0.875
3b3s	Ki	2.553	0.500
2oi0	Ki	7.553	0.803
2jh0	Ki	8.699	0.985
2ojj	Ki	8.699	0.971
2uwo	Ki	8.699	0.990
2o0u	Ki	5.495	0.935
2q8m	Ki	4.027	0.500
2uy5	Ki	5.495	0.689
2p3b	Ki	8.481	0.993
2r5p	Ki	8.481	0.993
2oag	Ki	8.469	0.748
2hhn	Ki	7.495	0.886
2r2w	Ki	4.469	0.980
2p53	Ki	7.456	0.500
2jh5	Ki	6.435	0.983
2pou	Ki	7.420	0.930
2oc2	Ki	8.523	0.964
2qu6	Ki	8.523	0.990
2nmz	Ki	8.367	0.993
2gkl	Ki	5.347	0.500
2j62	Ki	11.337	0.654
3b4p	Kd	5.398	0.500
2pwd	Ki	4.398	0.500
2j95	Ki	8.398	0.990
2ovy	Ki	8.398	0.957
2uwl	Ki	8.398	0.989
2pbw	Ki	8.255	0.784
2jfz	Ki	5.237	0.733
2j94	Ki	6.272	0.991
2qzr	Ki	7.260	0.932
2qrk	Ki	4.260	0.500
2o4z	Ki	6.247	0.893
2vuk	Kd	3.903	0.930
2psv	Ki	7.237	0.993
2q38	Ki	5.225	0.707
2cen	Ki	8.301	0.994
2q5k	Ki	11.301	0.993
2jds	Ki	8.201	0.978
2i4v	Ki	11.201	0.990
2qdt	Ki	5.187	0.500
2uy3	Ki	3.222	0.500
2h6t	Ki	7.222	0.701
2pow	Ki	7.201	0.948
3b3w	Ki	4.187	0.500
2v2q	Ki	4.148	0.569
2pov	Ki	7.125	0.934
2q1q	Ki	8.155	0.899
2z1w	Ki	4.081	0.895
2v2v	Ki	4.067	0.519
2glp	Ki	5.013	0.659
2q2a	Kd	7.409	0.500
2vt3	Kd	4.155	0.532
3exe	Kd	6.959	0.839
3cow	Kd	6.903	0.771
2rcb	Kd	6.788	0.500
2vpn	Kd	6.721	0.834
2jgs	Kd	6.620	0.696
2vwc	Kd	6.620	0.972
2qpu	Kd	3.602	0.500
2p7z	Kd	6.582	0.821
2p7g	Kd	6.527	0.798
3d0b	Kd	6.538	0.985
3bva	Kd	6.523	0.986
2vw5	Kd	8.523	0.969
3cj4	Kd	6.509	0.886
2p3i	Kd	3.481	0.505
3d2e	Kd	6.420	0.941
3c2o	Kd	3.347	0.500
3cj5	Kd	6.337	0.918
2zb1	Kd	6.319	0.939
2pvu	Kd	6.310	0.581
2q89	Kd	6.301	0.581
2vrj	Kd	6.301	0.839
3ebl	Kd	6.301	0.768
2qbu	Kd	6.190	0.620
2p7a	Kd	6.103	0.738
3c2r	Kd	3.108	0.581
2vmd	Kd	3.022	0.500
3coy	Kd	6.018	0.791
3ckb	Kd	2.983	0.605
2rcn	Kd	6.000	0.762
2vmc	Kd	2.939	0.500
3eeb	Kd	5.886	0.500
3e5u	Kd	5.854	0.561
2q88	Kd	5.796	0.566
2vyt	Kd	2.735	0.709
2pqc	Kd	5.745	0.787
3c2f	Kd	1.996	0.531
3bxg	Kd	4.959	0.637
3exh	Kd	4.883	0.709
3bbb	Kd	7.000	0.715
2rin	Kd	4.000	0.500
3c39	Kd	3.963	0.805
2vpe	Kd	4.943	0.692
2vo4	Kd	4.936	0.500
3cd5	Kd	7.896	0.890
3ccw	Kd	7.870	0.738
3cd7	Kd	7.845	0.800
2vmf	Kd	5.854	0.500
3c84	Kd	7.854	0.560
3cj2	Kd	4.854	0.853
2pym	Kd	6.824	0.992
2r23	Kd	3.721	0.801
2vfk	Kd	3.712	0.563
3f17	Kd	8.627	0.948
2reg	Kd	5.638	0.500
3bex	Kd	5.569	0.500
3bug	Kd	3.180	0.955
3coz	Kd	5.569	0.761
3bxf	Kd	5.542	0.585
2rio	Kd	4.690	0.912
3bra	Kd	2.699	0.943
3f3e	Kd	7.699	0.619
2q63	Kd	7.180	0.991
3f8c	Kd	7.678	0.939
3fat	Kd	7.642	0.850
3ery	Kd	5.658	0.594
3buh	Kd	3.658	0.961
3f8f	Kd	6.627	0.917
3g32	Ki	3.712	0.688
2pyy	Kd	4.602	0.500
3d7k	Kd	4.602	0.869
3cda	Kd	7.580	0.763
3cd0	Kd	7.570	0.763
3cct	Kd	7.562	0.720
2pyn	Kd	7.569	0.993
3b2q	Kd	4.553	0.673
3h8b	Ki	6.292	0.733
3brn	Kd	8.699	0.500
3c4h	Kd	5.699	0.942
2q64	Kd	8.523	0.994
3bvb	Kd	5.495	0.994
3bxe	Kd	5.476	0.707
2zkj	Kd	5.481	0.806
2vc9	Kd	8.444	0.500
2vpo	Kd	5.420	0.769
3bzf	Kd	4.523	0.511
2r0h	Kd	3.509	0.747
2r1y	Kd	4.509	0.894
2qtn	Kd	3.418	0.600
2zdm	Kd	6.413	0.992
3f18	Kd	7.403	0.953
3f6e	Kd	2.383	0.917
2zdl	Kd	6.396	0.992
2zdk	Kd	6.369	0.994
3dp4	Kd	7.367	0.858
3bbf	Kd	5.284	0.500
3f16	Kd	8.228	0.937
2vvn	Kd	7.301	0.691
3ccz	Kd	7.287	0.833
3f48	Kd	6.291	0.500
2zdn	Kd	6.250	0.994
2qbw	Kd	7.252	0.500
3bxh	Kd	4.025	0.620
3cdb	Kd	7.019	0.704
3f80	Kd	4.222	0.874
3f1a	Kd	7.214	0.947
2pqb	Kd	7.201	0.786
3c79	Kd	7.201	0.569
3f19	Kd	7.186	0.950
3f3d	Kd	7.161	0.500
3bu1	Kd	8.149	0.500
3f15	Kd	8.103	0.944
2r75	Kd	6.146	0.798
3buf	Kd	3.097	0.951
2qi7	Ki	10.208	0.992
2qbp	Ki	8.398	0.939
3c56	Ki	7.886	0.749
2qi5	Ki	10.854	0.994
2qi6	Ki	10.569	0.992
2qi4	Ki	10.444	0.992
2qbq	Ki	7.444	0.932
2r38	Ki	7.444	0.992
3ekr	Ki	7.523	0.958
3c52	Ki	7.301	0.892
2rfh	Ki	6.824	0.534
2zq0	Ki	6.824	0.500
2v2h	Ki	3.770	0.818
2qbs	Ki	6.678	0.937
2za0	Ki	6.638	0.558
2pwr	Ki	6.585	0.994
2pvh	Ki	6.585	0.977
2z4o	Ki	9.569	0.993
2pwc	Ki	6.569	0.991
2vh6	Ki	9.699	0.991
3eko	Ki	6.699	0.959
2p4s	Ki	9.509	0.611
2pvm	Ki	6.444	0.979
2v2c	Ki	3.409	0.775
2qnp	Ki	6.409	0.990
2vw1	Ki	3.523	0.759
3ckp	Ki	6.348	0.986
2qbr	Ki	6.328	0.938
2w26	Ki	9.398	0.974
3b65	Ki	9.268	0.938
2vw2	Ki	3.301	0.500
3bkl	Ki	6.168	0.926
2ri9	Ki	3.222	0.687
2qnq	Ki	6.114	0.990
2qmg	Ki	9.155	0.987
3d91	Ki	9.155	0.810
2qd7	Ki	9.097	0.993
2rkf	Ki	9.081	0.993
3bkk	Ki	6.081	0.942
2qd8	Ki	9.071	0.992
3cke	Ki	6.097	0.610
3bgb	Ki	6.046	0.991
2vqt	Ki	6.000	0.546
3c2u	Ki	2.903	0.500
3b67	Ki	8.854	0.956
3e93	Ki	8.854	0.971
2r3t	Ki	5.854	0.994
2zcq	Ki	8.824	0.887
3d1z	Ki	8.796	0.992
3b5r	Ki	8.770	0.966
3bqc	Ki	5.733	0.967
2vkm	Ki	8.745	0.985
2rkd	Ki	2.721	0.826
3ckz	Ki	8.721	0.840
2qg0	Ki	5.721	0.990
3cyx	Ki	8.000	0.994
3e92	Ki	8.000	0.898
2vjx	Ki	4.959	0.679
3cf8	Ki	4.896	0.538
2uy0	Ki	6.921	0.994
3bl0	Ki	6.917	0.925
2qw1	Ki	3.903	0.529
3d7z	Ki	7.921	0.945
2zcr	Ki	6.870	0.904
2zn7	Ki	7.886	0.942
2vo5	Ki	4.886	0.657
3d4z	Ki	4.886	0.614
3ewj	Ki	6.845	0.928
2rka	Ki	3.000	0.840
3dd8	Ki	7.854	0.930
2r9x	Ki	4.854	0.805
2ra0	Ki	7.799	0.994
3c88	Ki	6.804	0.516
3b7u	Ki	7.745	0.820
3czv	Ki	7.796	0.939
3fas	Ki	6.767	0.836
3cyw	Ki	7.770	0.992
3d50	Ki	4.770	0.708
2zc9	Ki	6.745	0.987
2zgx	Ki	6.745	0.988
2p4y	Ki	9.000	0.929
2r43	Ki	6.000	0.992
3ddg	Ki	6.000	0.772
2pqz	Ki	5.668	0.990
2qd6	Ki	8.678	0.993
2q8z	Ki	5.678	0.734
3d1x	Ki	8.658	0.994
3bl1	Ki	5.599	0.949
3b66	Ki	8.602	0.964
3b7r	Ki	7.699	0.937
2ves	Ki	7.699	0.894
1w0z	Ki	7.678	0.988
3cs7	Ki	10.678	0.993
2yz3	Ki	6.658	0.953
3ddf	Ki	4.658	0.755
2rk8	Ki	3.638	0.865
3dln	Ki	6.604	0.821
2pvl	Ki	7.620	0.980
3be9	Ki	7.620	0.979
2pu2	Ki	4.432	0.620
2zmm	Ki	7.602	0.951
2v54	Ki	4.602	0.857
3djk	Ki	10.585	0.993
1w13	Ki	8.699	0.988
2vj8	Ki	8.699	0.925
3eqr	Ki	8.699	0.952
3d4y	Ki	5.699	0.650
2vh0	Ki	8.509	0.993
2uxz	Ki	8.481	0.993
2q6f	Ki	5.444	0.880
2za5	Ki	8.432	0.857
3bft	Ki	6.491	0.813
2qhy	Ki	7.481	0.992
3cm2	Ki	6.469	0.857
3bgs	Ki	9.420	0.720
2qg2	Ki	5.398	0.987
3d83	Ki	8.357	0.973
3bv9	Ki	5.357	0.992
2qci	Ki	8.337	0.994
2qi0	Ki	7.377	0.992
2vvs	Ki	7.337	0.906
2r2m	Ki	7.327	0.991
2qtt	Ki	4.319	0.502
2vsl	Ki	8.398	0.892
2zda	Ki	8.398	0.989
3b68	Ki	8.398	0.958
3d0e	Ki	8.398	0.993
3dyo	Ki	2.301	0.575
3e5a	Ki	8.229	0.916
2qi1	Ki	7.301	0.993
3d52	Ki	3.284	0.830
3bfu	Ki	6.275	0.792
2qhz	Ki	7.276	0.991
2vk6	Ki	5.301	0.750
2ole	Ki	7.250	0.838
2jkp	Ki	4.229	0.500
2jke	Ki	4.229	0.500
2pvk	Ki	8.301	0.978
2rd6	Ki	8.301	0.928
3drf	Kd	7.000	0.860
3drg	Kd	7.000	0.846
3el1	Kd	9.638	0.993
2r59	Ki	8.187	0.940
2zfp	Ki	5.167	0.986
3b7j	Ki	5.167	0.608
2epn	Ki	7.222	0.583
3c8a	Ki	6.180	0.565
1w11	Ki	8.222	0.988
2zcs	Ki	8.222	0.899
3d1y	Ki	8.222	0.994
3b4f	Ki	8.143	0.960
2pq9	Ki	8.108	0.856
2e9u	Ki	8.100	0.986
3d51	Ki	4.155	0.751
2vot	Ki	7.143	0.844
3c8b	Ki	6.105	0.534
2rkg	Ki	8.086	0.988
2qtg	Ki	5.081	0.508
2v77	Ki	5.060	0.500
2rke	Ki	4.084	0.787
3cl0	Ki	7.072	0.890
3c89	Ki	6.073	0.548
2whp	Kd	4.000	0.700
2pvj	Ki	8.097	0.977
2r9w	Ki	5.097	0.803
3bgc	Ki	5.018	0.992
2vnt	Ki	8.004	0.993
3f3c	Ki	6.022	0.500
3jvs	Kd	6.538	0.987
2vl4	Ki	6.011	0.774
2wjg	Kd	7.097	0.936
2vk2	Kd	6.886	0.781
3fzy	Kd	6.745	0.500
3a1c	Kd	4.000	0.757
3g3r	Kd	6.481	0.500
3ekx	Kd	9.409	0.993
3ekv	Kd	9.409	0.994
3fvh	Kd	6.350	0.686
3ed0	Kd	6.347	0.564
3f33	Kd	3.337	0.500
3f34	Kd	3.161	0.500
2zym	Kd	6.137	0.556
3gnw	Kd	9.102	0.837
